iter	Passed	Remaining
0	157	156843
1	159	79661
2	161	53729
3	164	40994
4	167	33253
5	168	27885
6	169	24107
7	171	21309
8	173	19146
9	175	17415
10	179	16096
11	181	14902
12	182	13820
13	183	12893
14	184	12118
15	185	11433
16	187	10819
17	188	10279
18	189	9800
19	191	9376
20	193	9003
21	194	8652
22	195	8309
23	196	7990
24	197	7709
25	199	7455
26	200	7215
27	201	6994
28	202	6785
29	203	6585
30	204	6394
31	206	6233
32	207	6066
33	208	5922
34	209	5773
35	210	5639
36	211	5517
37	213	5397
38	214	5282
39	215	5172
40	216	5066
41	217	4960
42	218	4857
43	219	4763
44	220	4683
45	222	4604
46	223	4534
47	225	4465
48	226	4396
49	227	4329
50	229	4261
51	229	4189
52	230	4120
53	231	4051
54	232	3987
55	232	3923
56	234	3871
57	236	3834
58	238	3796
59	239	3752
60	240	3709
61	241	3661
62	242	3609
63	243	3560
64	244	3513
65	244	3466
66	245	3421
67	246	3377
68	247	3336
69	249	3320
70	252	3301
71	253	3268
72	254	3236
73	256	3203
74	256	3168
75	257	3132
76	258	3097
77	259	3061
78	259	3028
79	260	2995
80	261	2963
81	262	2934
82	263	2909
83	265	2894
84	267	2882
85	269	2860
86	270	2843
87	271	2817
88	272	2791
89	273	2766
90	274	2740
91	275	2716
92	276	2693
93	278	2688
94	281	2679
95	282	2662
96	284	2646
97	285	2628
98	286	2608
99	287	2586
100	288	2565
101	289	2545
102	289	2524
103	290	2504
104	292	2494
105	294	2482
106	296	2470
107	297	2455
108	298	2441
109	299	2425
110	300	2410
111	302	2394
112	302	2375
113	303	2358
114	304	2340
115	305	2325
116	306	2316
117	309	2312
118	311	2309
119	313	2299
120	314	2284
121	315	2269
122	316	2253
123	316	2238
124	317	2221
125	318	2206
126	318	2190
127	319	2177
128	320	2165
129	323	2162
130	325	2157
131	326	2149
132	328	2140
133	329	2132
134	331	2123
135	332	2115
136	334	2106
137	337	2106
138	339	2100
139	340	2088
140	341	2078
141	341	2066
142	343	2056
143	344	2046
144	345	2036
145	346	2026
146	347	2017
147	348	2006
148	349	1998
149	351	1991
150	353	1987
151	354	1978
152	355	1969
153	357	1961
154	358	1953
155	359	1944
156	360	1935
157	361	1928
158	362	1919
159	363	1910
160	364	1901
161	367	1898
162	369	1899
163	371	1894
164	373	1888
165	374	1881
166	375	1871
167	376	1863
168	377	1855
169	378	1847
170	380	1847
171	383	1844
172	385	1840
173	386	1835
174	387	1828
175	388	1820
176	389	1811
177	390	1802
178	391	1793
179	392	1786
180	395	1787
181	396	1783
182	398	1778
183	399	1772
184	400	1764
185	401	1756
186	402	1748
187	403	1741
188	404	1737
189	406	1734
190	409	1733
191	411	1730
192	413	1729
193	415	1724
194	416	1719
195	417	1713
196	418	1707
197	420	1701
198	421	1695
199	422	1689
200	423	1684
201	425	1680
202	426	1676
203	427	1669
204	428	1663
205	430	1657
206	431	1653
207	433	1649
208	434	1644
209	436	1640
210	437	1636
211	439	1635
212	441	1630
213	442	1624
214	443	1618
215	444	1612
216	445	1605
217	445	1599
218	446	1593
219	447	1586
220	448	1581
221	450	1577
222	451	1574
223	453	1572
224	456	1573
225	458	1569
226	459	1564
227	460	1558
228	461	1554
229	462	1549
230	464	1545
231	465	1540
232	468	1541
233	469	1537
234	471	1533
235	472	1530
236	474	1526
237	475	1522
238	477	1519
239	478	1515
240	479	1510
241	481	1507
242	482	1503
243	484	1499
244	520	1603
245	521	1599
246	523	1594
247	524	1590
248	525	1585
249	527	1581
250	530	1582
251	532	1579
252	533	1574
253	534	1570
254	535	1565
255	537	1560
256	538	1555
257	539	1551
258	540	1546
259	542	1543
260	544	1542
261	547	1540
262	548	1536
263	549	1532
264	551	1529
265	552	1525
266	554	1521
267	555	1517
268	556	1513
269	558	1509
270	559	1506
271	561	1504
272	563	1500
273	564	1495
274	565	1490
275	566	1485
276	567	1480
277	567	1474
278	568	1469
279	570	1466
280	571	1461
281	572	1457
282	573	1453
283	575	1450
284	576	1446
285	577	1441
286	578	1436
287	579	1431
288	580	1427
289	581	1422
290	582	1418
291	583	1414
292	584	1411
293	585	1407
294	588	1407
295	590	1404
296	591	1400
297	593	1397
298	594	1393
299	595	1388
300	596	1384
301	598	1383
302	600	1380
303	601	1377
304	603	1375
305	605	1373
306	607	1370
307	608	1366
308	610	1364
309	611	1361
310	613	1358
311	616	1358
312	617	1355
313	618	1352
314	619	1348
315	621	1344
316	622	1341
317	625	1340
318	626	1337
319	627	1334
320	629	1331
321	631	1329
322	634	1330
323	636	1327
324	637	1324
325	638	1320
326	643	1323
327	644	1320
328	647	1319
329	648	1317
330	650	1315
331	652	1312
332	653	1308
333	653	1303
334	654	1300
335	655	1295
336	656	1291
337	657	1287
338	658	1284
339	661	1283
340	662	1281
341	664	1279
342	665	1275
343	667	1272
344	667	1268
345	668	1263
346	669	1259
347	670	1256
348	671	1252
349	671	1247
350	672	1243
351	673	1240
352	675	1238
353	678	1237
354	679	1234
355	680	1231
356	681	1228
357	682	1224
358	683	1220
359	684	1216
360	685	1212
361	685	1208
362	686	1204
363	687	1200
364	688	1198
365	689	1195
366	691	1192
367	692	1189
368	693	1185
369	695	1183
370	696	1181
371	697	1178
372	699	1176
373	701	1174
374	706	1177
375	709	1177
376	710	1174
377	711	1171
378	712	1167
379	713	1164
380	714	1161
381	720	1164
382	723	1164
383	724	1162
384	725	1158
385	726	1155
386	727	1152
387	728	1148
388	729	1145
389	729	1141
390	731	1138
391	733	1137
392	737	1139
393	739	1136
394	740	1133
395	740	1129
396	741	1126
397	742	1122
398	743	1119
399	744	1116
400	745	1113
401	746	1110
402	751	1113
403	753	1111
404	754	1108
405	755	1105
406	757	1103
407	758	1099
408	758	1096
409	759	1093
410	760	1090
411	761	1087
412	763	1085
413	765	1083
414	766	1080
415	767	1077
416	769	1075
417	770	1072
418	772	1070
419	773	1067
420	774	1065
421	775	1061
422	776	1058
423	777	1056
424	779	1054
425	780	1051
426	782	1049
427	783	1047
428	784	1044
429	786	1042
430	787	1039
431	788	1036
432	788	1033
433	789	1030
434	791	1027
435	793	1026
436	795	1024
437	798	1024
438	800	1022
439	801	1019
440	801	1016
441	802	1013
442	803	1010
443	804	1007
444	805	1004
445	807	1003
446	810	1002
447	811	1000
448	812	997
449	813	994
450	814	991
451	815	988
452	816	985
453	817	983
454	818	980
455	820	978
456	823	978
457	826	977
458	827	974
459	827	971
460	828	968
461	829	965
462	830	963
463	831	960
464	832	957
465	834	956
466	835	954
467	838	953
468	840	951
469	841	948
470	842	945
471	842	942
472	843	939
473	844	937
474	845	934
475	845	931
476	847	928
477	848	926
478	850	924
479	852	923
480	854	921
481	855	919
482	856	916
483	857	913
484	857	910
485	858	908
486	859	905
487	860	902
488	861	900
489	862	897
490	864	895
491	866	894
492	867	892
493	868	889
494	869	887
495	870	884
496	871	881
497	872	879
498	872	876
499	873	873
500	874	871
501	876	869
502	877	866
503	878	864
504	881	864
505	883	863
506	884	860
507	885	858
508	886	855
509	888	853
510	889	851
511	890	849
512	892	847
513	893	845
514	894	842
515	896	840
516	898	839
517	899	837
518	900	834
519	901	832
520	903	830
521	904	828
522	906	826
523	907	824
524	908	821
525	909	819
526	911	818
527	912	816
528	914	814
529	915	811
530	917	810
531	918	808
532	920	806
533	921	803
534	921	801
535	922	798
536	924	796
537	925	794
538	926	792
539	927	790
540	929	788
541	930	786
542	931	784
543	933	782
544	934	780
545	935	777
546	936	775
547	937	772
548	938	770
549	939	768
550	940	766
551	941	764
552	942	762
553	944	760
554	946	758
555	947	756
556	948	754
557	949	752
558	950	749
559	951	747
560	952	745
561	953	742
562	954	741
563	957	739
564	959	738
565	961	736
566	961	734
567	962	732
568	963	729
569	964	727
570	965	725
571	966	722
572	967	720
573	968	718
574	970	717
575	971	715
576	973	713
577	974	711
578	975	709
579	977	707
580	978	705
581	978	702
582	979	700
583	980	698
584	981	696
585	983	694
586	985	693
587	987	691
588	988	689
589	989	687
590	990	685
591	992	683
592	993	681
593	994	680
594	995	677
595	997	676
596	1000	675
597	1001	673
598	1003	671
599	1005	670
600	1009	670
601	1011	668
602	1014	668
603	1016	666
604	1018	664
605	1019	662
606	1021	661
607	1022	659
608	1024	658
609	1026	656
610	1027	654
611	1029	652
612	1031	650
613	1032	648
614	1033	647
615	1035	645
616	1036	643
617	1037	641
618	1039	639
619	1041	638
620	1043	636
621	1044	634
622	1046	633
623	1048	631
624	1049	629
625	1051	627
626	1052	626
627	1053	623
628	1054	621
629	1055	620
630	1057	618
631	1058	616
632	1059	614
633	1061	613
634	1064	611
635	1065	610
636	1066	607
637	1067	605
638	1069	604
639	1071	602
640	1073	601
641	1074	599
642	1075	597
643	1077	595
644	1078	593
645	1079	591
646	1080	589
647	1082	587
648	1083	585
649	1084	584
650	1086	582
651	1088	580
652	1089	578
